1.352002	1.348003
1.499403	1.322103
1.268503	0.897001
1.270203	1.278003
1.496203	1.415003
1.191403	1.340502
0.6986	0.8199
0.4193	0.8224
0.4134	1.069703
0.5298	0.9601
0.602	1.163503
0.423	0.8199
0.5129	0.9825
0.5715	1.007403
0.5187	1.075103
0.5479	0.9596
0.5001	0.9589
0.9423	1.079703
0.795	1.010103
0.5051	1.079803
0.5999	1.197603
1.034402	1.213102
0.7446	1.042603
0.9023	1.368603
0.7628	1.062903
0.8981	1.011903
1.509403	1.317103
0.6723	1.098303
0.9604	1.593303
0.948301	1.187203
1.369203	1.353802
1.208003	1.433803
1.286003	1.639603
1.069003	1.213102
1.000202	1.563803
1.116703	1.258203
0.8698	1.348203
0.8791	1.177203
0.9932	1.316503
0.9484	1.469303
1.274603	1.499902
1.545003	1.267703
1.078903	1.401202
0.4987	0.8252
1.630003	1.288403
1.143903	1.227103
0.894	0.993901
1.239403	1.426202
0.8039	1.164603
1.038503	1.313503
1.154303	1.386703
1.490302	1.364203
1.095003	1.437803
1.276303	1.339402
1.441502	1.135903
1.171402	1.237903
1.249602	1.179503
1.142502	1.162503
1.524003	1.393303
1.369403	1.323403
1.791703	1.478303
1.181203	1.169303
1.536402	1.303103
1.839003	1.229103
1.629503	1.708203
1.086903	1.140003
1.176503	1.249303
1.772203	1.738103
0.9394	1.030402
1.301503	1.369103
1.035703	1.369603
1.046203	1.144302
1.015003	0.8968
